"ASV","s.inflammation_no_surgery","s.inflammation_with_surgery","s.no_inflammation_no_surgery","s.no_inflammation_with_surgery","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"52300aa4aa68944b024c00fa64cc524c",0,0,1,0,3,0.543743873679848,0.035,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__Victivallaceae","g__Victivallis",NA
"b4fe49bea6835a450831fe5e4f9caf93",1,0,1,0,6,0.688247201611685,0.03,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Merdibacter","s__uncultured_bacterium"
"c71db8f95f85736746c4040287e92142",0,1,0,0,2,0.597120779048054,0.03,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Anaeroglobus",NA
"51c76082684b9ede8eb0be0631dc09de",1,1,1,0,11,0.934262936221856,0.035,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister",NA
"4ce51f16d8ff9477e967d4a18a679209",1,0,1,0,6,0.932187047134536,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium"
"4879abf025a5007b3071320181864b19",1,0,1,0,6,0.755078901428497,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001","s__uncultured_bacterium"
"a007829e7caa4e757d393700887ff231",1,0,1,0,6,0.717650374868852,0.015,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania",NA
"b76576576ffc3e4cc1ce505df8d9ab2b",1,0,1,0,6,0.648806751714805,0.035,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__gut_metagenome"
"84936a75b77385ee0016dac164c7b4cd",0,1,0,1,9,0.648477275356446,0.03,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium","s__uncultured_bacterium"
"874b49e9d44f3ac17fdb888fc2a26a25",1,0,1,0,6,0.725476250110012,0.005,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia","s__uncultured_bacterium"
"66aa9dc77874b24b4fd3ace45e6e1b65",0,0,1,0,3,0.751378814271187,0.01,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia",NA
"d11f01de731bcf12b6d5890266d62a53",1,0,1,0,6,0.694877365829508,0.035,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus","s__uncultured_bacterium"
"3b2c8bff8d59ddad31a5d4ee17c4f7b0",1,0,1,0,6,0.630018461020532,0.03,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA
"a5c4caa215030992b4ef28757309392d",1,0,1,0,6,0.940502502246886,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA
"76886e3805deaef23f8465b3c28bbd97",0,0,1,0,3,0.611441173828576,0.015,"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured","s__uncultured_Desulfovibrionaceae"
"7d24ffc8eb8226313fd5a493092d6853",1,0,1,0,6,0.978358297025922,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__Clostridium_chauvoei"
