"ASV","s.Healthy Control","s.inflammation_no_surgery","s.inflammation_with_surgery","s.no_inflammation_no_surgery","s.no_inflammation_with_surgery","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"d088e889da8fa6f74b184e64de4d0e44",1,0,0,0,0,1,0.76224673325842,0.005,"d__Bacteria","p__Firmicutes","c__Incertae_Sedis","o__DTU014","f__DTU014","g__DTU014","s__unidentified"
"3f08acc0f303d25cc50c30c7d9f37c74",1,0,0,0,0,1,0.622289192833524,0.03,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__gut_metagenome"
"2abf3b34158c31beeb8da2cf2fd56f0b",1,0,0,0,0,1,0.577350269189626,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__uncultured","s__gut_metagenome"
"21bd78cd9b6f375f755f9dfc18fe86f2",1,0,0,1,0,8,0.954197569311204,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter",NA
"47856657304aa82e14bdf4b3c0151ef5",1,0,0,0,0,1,0.577082622878602,0.025,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_bacterium"
"ba386fb4e986bd05298bac38f8ba4f08",1,0,0,1,0,8,0.576240856884115,0.02,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__uncultured_bacterium"
"4e4abbe815c85701ae77ecf9fd3bc702",1,1,0,1,1,28,0.986270881769326,0.01,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"4cef3bc662b17a0e9219e3103340c880",1,0,0,0,0,1,0.57512648929063,0.015,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-001","s__uncultured_bacterium"
"6819da2eadde15bfa596f5acdd17ba9e",1,1,0,1,0,17,0.725312519967341,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Butyricimonas",NA
"a9bc5679c46a50d6460f7cebe8bb7c81",1,0,0,1,0,8,0.783282580118263,0.02,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","s__uncultured_organism"
"4c724a66250d4b7df2c1ec1327f497e4",1,1,0,1,0,17,0.873177143993137,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella",NA
"bccf7dbc674e1dec709d8106a80f098b",0,0,1,0,1,14,0.719974996523271,0.025,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__Fusobacterium_ulcerans"
"3b2c8bff8d59ddad31a5d4ee17c4f7b0",1,1,0,1,0,17,0.744451292682082,0.01,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA
"874b49e9d44f3ac17fdb888fc2a26a25",1,1,0,1,0,17,0.77919372247398,0.005,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia","s__uncultured_bacterium"
"8d0d1c8d9efe50aac8afeca92aebeb7b",1,1,0,1,0,17,0.742316362835886,0.015,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__uncultured","s__uncultured_bacterium"
"376d97ce89e5461bd1b337d19d3204df",0,1,1,1,1,30,0.77069789249905,0.045,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Eggerthella",NA
"d11f01de731bcf12b6d5890266d62a53",1,1,0,1,0,17,0.756430688880847,0.005,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Enterorhabdus","s__uncultured_bacterium"
"13e5bda46a73635a6dbb64e51e1d6f13",1,0,0,1,0,8,0.865836442019573,0.005,"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia",NA
"a007829e7caa4e757d393700887ff231",1,1,0,1,0,17,0.710864108320821,0.01,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania",NA
"92ef0daee3bae00bb4d060451f37c5f3",1,0,0,1,0,8,0.76777547611675,0.005,"d__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__gut_metagenome"
"c8164226bba504a5b3b562dcf668c0bb",1,1,0,1,0,17,0.906071634849836,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia",NA
"e448542cbf58f5abbdc13d77b4defbb3",1,0,0,0,0,1,0.5763664834126,0.035,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Asteroleplasma","s__metagenome"
"debe42f3858bb418dc9f6d97a37cab2a",1,0,0,0,0,1,0.525820927061695,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__uncultured","s__uncultured_bacterium"
"4879abf025a5007b3071320181864b19",1,1,0,1,0,17,0.841566596622729,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_UCG-001","s__uncultured_bacterium"
"4ce51f16d8ff9477e967d4a18a679209",1,1,0,1,0,17,0.953548838502433,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium"
"9a027060256daa2847b43e335a154ce8",0,0,1,1,1,25,0.81683918575841,0.03,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Clostridium]_innocuum_group",NA
"b4fe49bea6835a450831fe5e4f9caf93",1,1,0,1,0,17,0.654653670707977,0.03,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Merdibacter","s__uncultured_bacterium"
"51c76082684b9ede8eb0be0631dc09de",1,1,1,1,0,26,0.936077276621108,0.03,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister",NA
"c71db8f95f85736746c4040287e92142",0,0,1,0,0,3,0.597120961244632,0.03,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Anaeroglobus",NA
"a5c4caa215030992b4ef28757309392d",1,1,0,1,0,17,0.960270474719349,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA
"6edf717c8ec15892625692fddf4b905b",1,1,0,1,0,17,0.774184152151641,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__uncultured","s__uncultured_bacterium"
"aab396f2c6e4d7278de965492fb36fd7",1,1,0,1,0,17,0.801462506055894,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group",NA
"a4e36e78cef762611676575d73c8c7ac",1,0,0,0,0,1,0.645366206653283,0.035,"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","g__uncultured","s__gut_metagenome"
"2e967baca6f5185a4e181c68bf818e1a",1,0,0,0,0,1,0.738180439758937,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__vadinBE97","g__vadinBE97","s__uncultured_rumen"
"7beba1560968082452a60a72f8b60aa9",1,0,0,0,0,1,0.577350269189626,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__Victivallaceae","g__Victivallaceae","s__uncultured_rumen"
"2cd4cb797e5e442fa3cba1e706633807",1,0,0,1,0,8,0.771512851530774,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus","s__uncultured_bacterium"
"42fe2312e1b509b2e7c6b11fe2a67d5e",1,1,0,1,0,17,0.697567123583644,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__uncultured","s__uncultured_bacterium"
"a94b8482c95ea2813b5350e49b10fdc0",0,0,0,1,0,4,0.555910222391911,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Fenollaria","s__uncultured_bacterium"
"5b4f2c3e1d686ba6b1b1a5bbd008b0ca",1,1,0,1,0,17,0.85231872009734,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__metagenome"
"25975e985e1e8a108ebbbce9348ef642",1,1,0,1,0,17,0.849117130854109,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__uncultured_organism"
"2aa65c3d547af543184eef9178a65728",1,1,0,1,0,17,0.899493853967433,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_organism"
"43b9fb30364ff36d2502f84d01ec2df2",0,0,0,1,0,4,0.680378562515394,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Papillibacter","s__uncultured_bacterium"
"7d24ffc8eb8226313fd5a493092d6853",1,1,0,1,0,17,0.982526433340122,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1","s__Clostridium_chauvoei"
"b632d02aa08f9bbdb8a884f75db3585a",1,0,0,0,0,1,0.707672988265469,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__uncultured","f__uncultured","g__uncultured","s__uncultured_organism"
"1a5c25f5fe7c368dc1976e13e3003e22",1,1,0,1,0,17,0.877620120668994,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-003",NA
"a7d57b1f7d6047cdd27889df35ad63b5",1,1,0,1,0,17,0.960338401879139,0.005,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA
